event,miamiScore,opponentScore,pointDifference,elapsedTime,opponent,id
,70,55,15,1742.0,DET,202310250MIA
,70,57,13,1761.0,DET,202310250MIA
,71,57,14,1805.0,DET,202310250MIA
,71,60,11,1819.0,DET,202310250MIA
,73,60,13,1835.0,DET,202310250MIA
,75,60,15,1898.0,DET,202310250MIA
,75,62,13,1916.0,DET,202310250MIA
,76,62,14,1927.0,DET,202310250MIA
,77,62,15,1927.0,DET,202310250MIA
,77,64,13,1946.0,DET,202310250MIA
,77,65,12,1981.0,DET,202310250MIA
,77,66,11,1981.0,DET,202310250MIA
,79,66,13,2000.0,DET,202310250MIA
,79,67,12,2026.0,DET,202310250MIA
,79,68,11,2026.0,DET,202310250MIA
,81,68,13,2048.0,DET,202310250MIA
,81,70,11,2075.0,DET,202310250MIA
,81,72,9,2107.0,DET,202310250MIA
,81,75,6,2115.0,DET,202310250MIA
,82,75,7,2129.0,DET,202310250MIA
,83,75,8,2129.0,DET,202310250MIA
,86,75,11,2194.0,DET,202310250MIA
,88,75,13,2246.0,DET,202310250MIA
,90,75,15,2276.0,DET,202310250MIA
,92,75,17,2300.0,DET,202310250MIA
,94,75,19,2315.0,DET,202310250MIA
,94,77,17,2333.0,DET,202310250MIA
,94,78,16,2333.0,DET,202310250MIA
,94,80,14,2367.0,DET,202310250MIA
,94,83,11,2387.0,DET,202310250MIA
,94,85,9,2416.0,DET,202310250MIA
,94,87,7,2458.0,DET,202310250MIA
,94,89,5,2496.0,DET,202310250MIA
,95,89,6,2516.0,DET,202310250MIA
,97,89,8,2547.0,DET,202310250MIA
,97,91,6,2574.0,DET,202310250MIA
,97,93,4,2615.0,DET,202310250MIA
,99,93,6,2641.0,DET,202310250MIA
,100,93,7,2668.0,DET,202310250MIA
,101,93,8,2668.0,DET,202310250MIA
,101,95,6,2681.0,DET,202310250MIA
,103,95,8,2703.0,DET,202310250MIA
,103,97,6,2741.0,DET,202310250MIA
,103,99,4,2759.0,DET,202310250MIA
,103,102,1,2776.0,DET,202310250MIA
,103,102,1,2880.0,DET,202310250MIA
,0,0,0,0.0,BOS,202310270BOS
,0,3,-3,16.0,BOS,202310270BOS
,2,3,-1,34.0,BOS,202310270BOS
,2,5,-3,92.0,BOS,202310270BOS
T,5,5,0,112.0,BOS,202310270BOS
LC,7,5,2,161.0,BOS,202310270BOS
LC,7,8,-1,177.0,BOS,202310270BOS
LC,9,8,1,197.0,BOS,202310270BOS
,11,8,3,239.0,BOS,202310270BOS
,13,8,5,261.0,BOS,202310270BOS
,13,11,2,271.0,BOS,202310270BOS
,15,11,4,297.0,BOS,202310270BOS
,16,11,5,313.0,BOS,202310270BOS
,16,13,3,325.0,BOS,202310270BOS
,19,13,6,357.0,BOS,202310270BOS
,22,13,9,376.0,BOS,202310270BOS
,24,13,11,392.0,BOS,202310270BOS
,25,13,12,418.0,BOS,202310270BOS
,26,13,13,418.0,BOS,202310270BOS
,26,15,11,432.0,BOS,202310270BOS
,26,16,10,432.0,BOS,202310270BOS
,26,18,8,458.0,BOS,202310270BOS
,26,20,6,544.0,BOS,202310270BOS
,26,23,3,554.0,BOS,202310270BOS
,28,23,5,579.0,BOS,202310270BOS
,28,25,3,694.0,BOS,202310270BOS
,30,25,5,745.0,BOS,202310270BOS
,30,28,2,781.0,BOS,202310270BOS
,33,28,5,804.0,BOS,202310270BOS
,33,31,2,823.0,BOS,202310270BOS
T,33,33,0,873.0,BOS,202310270BOS
,36,33,3,884.0,BOS,202310270BOS
,39,33,6,899.0,BOS,202310270BOS
,39,35,4,925.0,BOS,202310270BOS
,42,35,7,930.0,BOS,202310270BOS
,42,37,5,949.0,BOS,202310270BOS
,42,39,3,983.0,BOS,202310270BOS
,44,39,5,997.0,BOS,202310270BOS
,44,40,4,1035.0,BOS,202310270BOS
,44,41,3,1035.0,BOS,202310270BOS
,44,43,1,1062.0,BOS,202310270BOS
,47,43,4,1085.0,BOS,202310270BOS
,49,43,6,1126.0,BOS,202310270BOS
,49,45,4,1136.0,BOS,202310270BOS
,49,47,2,1189.0,BOS,202310270BOS
,51,47,4,1208.0,BOS,202310270BOS
,51,49,2,1244.0,BOS,202310270BOS
T,51,51,0,1266.0,BOS,202310270BOS
LC,51,53,-2,1269.0,BOS,202310270BOS
,52,53,-1,1298.0,BOS,202310270BOS
T,53,53,0,1298.0,BOS,202310270BOS
,53,56,-3,1315.0,BOS,202310270BOS
,53,59,-6,1386.0,BOS,202310270BOS
,55,59,-4,1408.0,BOS,202310270BOS
,55,60,-5,1412.0,BOS,202310270BOS
,58,60,-2,1461.0,BOS,202310270BOS
,58,61,-3,1510.0,BOS,202310270BOS
,58,62,-4,1510.0,BOS,202310270BOS
,60,62,-2,1534.0,BOS,202310270BOS
,60,64,-4,1553.0,BOS,202310270BOS
,62,64,-2,1583.0,BOS,202310270BOS
,62,67,-5,1591.0,BOS,202310270BOS
,62,69,-7,1624.0,BOS,202310270BOS
,65,69,-4,1642.0,BOS,202310270BOS
,65,71,-6,1678.0,BOS,202310270BOS
,68,71,-3,1694.0,BOS,202310270BOS
,68,73,-5,1711.0,BOS,202310270BOS
,70,73,-3,1731.0,BOS,202310270BOS
,72,73,-1,1762.0,BOS,202310270BOS
,72,76,-4,1782.0,BOS,202310270BOS
,74,76,-2,1790.0,BOS,202310270BOS
,75,76,-1,1790.0,BOS,202310270BOS
T,76,76,0,1790.0,BOS,202310270BOS
LC,79,76,3,1821.0,BOS,202310270BOS
,79,78,1,1837.0,BOS,202310270BOS
,81,78,3,1922.0,BOS,202310270BOS
,81,79,2,1939.0,BOS,202310270BOS
,81,80,1,1939.0,BOS,202310270BOS
,83,80,3,2030.0,BOS,202310270BOS
,83,82,1,2052.0,BOS,202310270BOS
,86,82,4,2110.0,BOS,202310270BOS
,86,84,2,2119.0,BOS,202310270BOS
,88,84,4,2127.0,BOS,202310270BOS
,88,87,1,2156.0,BOS,202310270BOS
T,88,88,0,2180.0,BOS,202310270BOS
,89,88,1,2213.0,BOS,202310270BOS
,90,88,2,2213.0,BOS,202310270BOS
LC,90,91,-1,2225.0,BOS,202310270BOS
,90,93,-3,2289.0,BOS,202310270BOS
,90,96,-6,2313.0,BOS,202310270BOS
,93,96,-3,2328.0,BOS,202310270BOS
,93,98,-5,2385.0,BOS,202310270BOS
,95,98,-3,2428.0,BOS,202310270BOS
,96,98,-2,2428.0,BOS,202310270BOS
,96,101,-5,2467.0,BOS,202310270BOS
,96,102,-6,2508.0,BOS,202310270BOS
,97,102,-5,2525.0,BOS,202310270BOS
,98,102,-4,2525.0,BOS,202310270BOS
,98,104,-6,2568.0,BOS,202310270BOS
,99,104,-5,2581.0,BOS,202310270BOS
,100,104,-4,2581.0,BOS,202310270BOS
,100,106,-6,2594.0,BOS,202310270BOS
,101,106,-5,2594.0,BOS,202310270BOS
,101,109,-8,2621.0,BOS,202310270BOS
,102,109,-7,2629.0,BOS,202310270BOS
,103,109,-6,2682.0,BOS,202310270BOS
,104,109,-5,2682.0,BOS,202310270BOS
,104,111,-7,2712.0,BOS,202310270BOS
,104,112,-8,2742.0,BOS,202310270BOS
,105,112,-7,2764.0,BOS,202310270BOS
,108,112,-4,2791.0,BOS,202310270BOS
,108,114,-6,2810.0,BOS,202310270BOS
,111,114,-3,2821.0,BOS,202310270BOS
,111,115,-4,2833.0,BOS,202310270BOS
,111,116,-5,2833.0,BOS,202310270BOS
,111,119,-8,2863.0,BOS,202310270BOS
,111,119,-8,2880.0,BOS,202310270BOS
,0,0,0,0.0,MIN,202310280MIN
,3,0,3,20.0,MIN,202310280MIN
,3,2,1,52.0,MIN,202310280MIN
,5,2,3,92.0,MIN,202310280MIN
,8,2,6,116.0,MIN,202310280MIN
,8,4,4,137.0,MIN,202310280MIN
,10,4,6,168.0,MIN,202310280MIN
,10,6,4,184.0,MIN,202310280MIN
,12,6,6,210.0,MIN,202310280MIN
,14,6,8,240.0,MIN,202310280MIN
,14,8,6,262.0,MIN,202310280MIN
,14,11,3,284.0,MIN,202310280MIN
T,14,14,0,318.0,MIN,202310280MIN
,16,14,2,344.0,MIN,202310280MIN
T,16,16,0,365.0,MIN,202310280MIN
,19,16,3,378.0,MIN,202310280MIN
,21,16,5,416.0,MIN,202310280MIN
,23,16,7,483.0,MIN,202310280MIN
,23,18,5,509.0,MIN,202310280MIN
,23,19,4,540.0,MIN,202310280MIN
,23,20,3,540.0,MIN,202310280MIN
,23,22,1,564.0,MIN,202310280MIN
LC,23,24,-1,601.0,MIN,202310280MIN
LC,25,24,1,638.0,MIN,202310280MIN
,28,24,4,668.0,MIN,202310280MIN
,31,24,7,689.0,MIN,202310280MIN
,31,26,5,705.0,MIN,202310280MIN
,33,26,7,753.0,MIN,202310280MIN
,33,28,5,793.0,MIN,202310280MIN
,33,31,2,815.0,MIN,202310280MIN
T,33,33,0,868.0,MIN,202310280MIN
,36,33,3,909.0,MIN,202310280MIN
,38,33,5,938.0,MIN,202310280MIN
,38,35,3,952.0,MIN,202310280MIN
,40,35,5,970.0,MIN,202310280MIN
,40,38,2,984.0,MIN,202310280MIN
,42,38,4,998.0,MIN,202310280MIN
,42,40,2,1014.0,MIN,202310280MIN
,44,40,4,1030.0,MIN,202310280MIN
,44,42,2,1142.0,MIN,202310280MIN
T,44,44,0,1169.0,MIN,202310280MIN
,45,44,1,1201.0,MIN,202310280MIN
LC,45,46,-1,1217.0,MIN,202310280MIN
,45,48,-3,1251.0,MIN,202310280MIN
,46,48,-2,1266.0,MIN,202310280MIN
,47,48,-1,1266.0,MIN,202310280MIN
LC,49,48,1,1295.0,MIN,202310280MIN
LC,49,50,-1,1309.0,MIN,202310280MIN
LC,51,50,1,1331.0,MIN,202310280MIN
LC,51,53,-2,1344.0,MIN,202310280MIN
,51,55,-4,1379.0,MIN,202310280MIN
,53,55,-2,1390.0,MIN,202310280MIN
T,55,55,0,1459.0,MIN,202310280MIN
,55,58,-3,1480.0,MIN,202310280MIN
,55,59,-4,1517.0,MIN,202310280MIN
,58,59,-1,1669.0,MIN,202310280MIN
,58,61,-3,1691.0,MIN,202310280MIN
,59,61,-2,1706.0,MIN,202310280MIN
,59,63,-4,1722.0,MIN,202310280MIN
,62,63,-1,1743.0,MIN,202310280MIN
,62,65,-3,1769.0,MIN,202310280MIN
T,65,65,0,1784.0,MIN,202310280MIN
,65,68,-3,1801.0,MIN,202310280MIN
,67,68,-1,1817.0,MIN,202310280MIN
LC,70,68,2,1873.0,MIN,202310280MIN
T,70,70,0,1913.0,MIN,202310280MIN
LC,70,72,-2,1949.0,MIN,202310280MIN
T,72,72,0,1993.0,MIN,202310280MIN
,72,74,-2,2031.0,MIN,202310280MIN
,73,74,-1,2053.0,MIN,202310280MIN
,73,75,-2,2071.0,MIN,202310280MIN
,73,76,-3,2071.0,MIN,202310280MIN
,73,78,-5,2104.0,MIN,202310280MIN
,73,80,-7,2128.0,MIN,202310280MIN
,73,82,-9,2220.0,MIN,202310280MIN
,75,82,-7,2238.0,MIN,202310280MIN
,77,82,-5,2281.0,MIN,202310280MIN
,78,82,-4,2306.0,MIN,202310280MIN
,79,82,-3,2306.0,MIN,202310280MIN
,79,84,-5,2375.0,MIN,202310280MIN
,79,85,-6,2375.0,MIN,202310280MIN
,79,88,-9,2426.0,MIN,202310280MIN
,79,91,-12,2468.0,MIN,202310280MIN
,79,93,-14,2499.0,MIN,202310280MIN
,80,93,-13,2520.0,MIN,202310280MIN
,80,95,-15,2544.0,MIN,202310280MIN
,80,98,-18,2561.0,MIN,202310280MIN
,80,101,-21,2672.0,MIN,202310280MIN
,83,101,-18,2691.0,MIN,202310280MIN
,83,103,-20,2706.0,MIN,202310280MIN
,83,106,-23,2723.0,MIN,202310280MIN
,85,106,-21,2824.0,MIN,202310280MIN
,88,106,-18,2850.0,MIN,202310280MIN
,90,106,-16,2875.0,MIN,202310280MIN
,90,106,-16,2880.0,MIN,202310280MIN
,0,0,0,0.0,MIL,202310300MIL
,2,0,2,52.0,MIL,202310300MIL
T,2,2,0,66.0,MIL,202310300MIL
LC,2,3,-1,66.0,MIL,202310300MIL
LC,5,3,2,82.0,MIL,202310300MIL
T,5,5,0,95.0,MIL,202310300MIL
,7,5,2,134.0,MIL,202310300MIL
T,7,7,0,179.0,MIL,202310300MIL
,9,7,2,212.0,MIL,202310300MIL
LC,9,10,-1,224.0,MIL,202310300MIL
LC,11,10,1,247.0,MIL,202310300MIL
,13,10,3,296.0,MIL,202310300MIL
T,13,13,0,313.0,MIL,202310300MIL
LC,13,15,-2,340.0,MIL,202310300MIL
,14,15,-1,358.0,MIL,202310300MIL
T,15,15,0,358.0,MIL,202310300MIL
LC,16,15,1,380.0,MIL,202310300MIL
,17,15,2,380.0,MIL,202310300MIL
,20,15,5,428.0,MIL,202310300MIL
,20,16,4,435.0,MIL,202310300MIL
,20,17,3,435.0,MIL,202310300MIL
,20,19,1,484.0,MIL,202310300MIL
,21,19,2,517.0,MIL,202310300MIL
,22,19,3,517.0,MIL,202310300MIL
,22,20,2,528.0,MIL,202310300MIL
,22,21,1,528.0,MIL,202310300MIL
LC,22,23,-1,577.0,MIL,202310300MIL
,22,26,-4,607.0,MIL,202310300MIL
,24,26,-2,622.0,MIL,202310300MIL
,24,28,-4,637.0,MIL,202310300MIL
,26,28,-2,650.0,MIL,202310300MIL
,27,28,-1,720.0,MIL,202310300MIL
T,28,28,0,720.0,MIL,202310300MIL
,28,31,-3,739.0,MIL,202310300MIL
,28,33,-5,764.0,MIL,202310300MIL
,28,35,-7,818.0,MIL,202310300MIL
,30,35,-5,835.0,MIL,202310300MIL
,30,38,-8,851.0,MIL,202310300MIL
,32,38,-6,866.0,MIL,202310300MIL
,32,40,-8,892.0,MIL,202310300MIL
,32,41,-9,918.0,MIL,202310300MIL
,32,42,-10,918.0,MIL,202310300MIL
,33,42,-9,928.0,MIL,202310300MIL
,34,42,-8,928.0,MIL,202310300MIL
,34,44,-10,976.0,MIL,202310300MIL
,36,44,-8,991.0,MIL,202310300MIL
,36,46,-10,1009.0,MIL,202310300MIL
,36,48,-12,1035.0,MIL,202310300MIL
,38,48,-10,1049.0,MIL,202310300MIL
,38,50,-12,1064.0,MIL,202310300MIL
,41,50,-9,1118.0,MIL,202310300MIL
,41,53,-12,1138.0,MIL,202310300MIL
,42,53,-11,1172.0,MIL,202310300MIL
,43,53,-10,1172.0,MIL,202310300MIL
,43,54,-11,1182.0,MIL,202310300MIL
,43,55,-12,1182.0,MIL,202310300MIL
,43,57,-14,1227.0,MIL,202310300MIL
,46,57,-11,1271.0,MIL,202310300MIL
,48,57,-9,1297.0,MIL,202310300MIL
